,content,lable
0,이종석 한효주 나오는 드라마 이후로 드라마 안 봤다. 2년 전인가?? 좀 신선했었지. 근데 이런 개막장 드라마는 도대체 누가 보느냐면 변태들이 보는 것이다. 정상적인 사람들은 채널을 돌리게 된다.,0
1,씨바알.. 노무노무 술프노... 오늘 저녁은 꽂 등심이 다 ㅠㅜ,0
2,짱깨 꺼라 ㅡ 패쓰,0
3,그들의 사생활 ~ 고인이 된 설리를 위해서라도 모두 조용하길 지금 누굴 탓한다고 무슨 소용이 있다고,1
4,아무리 법이 뭣 같아도 무슨 자격으로 개인의 신상정보를 불특정 다수에게 공개하는지 도저히 이해가 안 되네요 법을 바꾸기 위해 노력하세요 저런 능력으로 불법적인 일을 공공의 이익으로 포장하지 마시구요,1
5,다음도 들어와라 하고... 다른 의 견내는 유튜버 목 자르고....추아줌마 꺼 여기저기서 진술 나오니...무슨 기 강 감찰이니 하며 협박 들어가고..... 댓글에 중국 러시아 욕하는 사람들 이 제 아가리 닥쳐라. 우리나라도 똑같이 되었다.,0
6,여자들도 아무한테 나 자기야라고 하는 사람 있는데 그것도 성희롱인 것 같은데요,1
7,나경아 젖깐 사진이나 인스타에 좀 올려라 물 좀 빼게,0
8,어린 시절 가정 교육 못 받은 애들은 절대 그 본성을 숨길 수 없지,0
9,지연이 얼굴은 더 배우 같네...,1
10,건축학 개론 지금 다시 봤는데 솔직히 건축학 개론 보다는 아닙니다ㅋ 건축학 개론은 건들 지 맙시다 ㅋ 볼 때마다 가슴이 애려 옵니다 ㅜㅜ,1
11,개별 공무원 뷰웅들의 헷지랄에 뭔 청와대까지 들 먹이는지... 빠끄네 때도 순시리가 개뻘 짓했지 청와대는 암 것도 않했지 말입니다~,0
12,서열 1위 네 좆 냥이 찍소리도 못함ㅋ,0
13,대깨문이 문재인 협박범을 쉴드치네? 역시 대가리가 붕어인 듯~,0
14,이런 기사 내지 마세요.,1
15,세계적으로 코로나 19 방역 최고로 인정을 받도록 한 자들에게 큰 박수를 보냅니다,1
16,돈이 전부는 아니라지만 첫째가 돈이 먼저 지 이 세상 에는 돈으로 세상을 사니ㅠ,1
17,예능 보면서 진지 빠는 사람 많네 ㅋㅋ 극 혐;;;;; 예능은 예능 임 저거보고 인성 어쩌고 저쩌고 ㅋㅋ어휴 노답,0
18,n차 하면 할수록 닐 너무 짠함 ㅠㅜ 어쩐지 처음부터 눈빛이 묘하더라,1
19,오 ㄱㅊ 노?? 박 하나 심어 놓은 다음에 존 나패는 거,0
20,홍위병들 뭉가 추가 위한다고 아가리 돈이 들어오나?,0
21,시어머니 모셔다 친 정엄마 생신상도 차려줄 건가! 제 능력껏 하던 가 친정 엄마까지 모셔다 생고생시키면서 점수 따고 싶나 골빈건지 철딱서니가 없는 건지 나이도 40 이나 먹었구만!,0
22,남자 측 욕하지 마세요,1
23,예술병 걸린 힙스터들이 또 오지게 의 미부여하고 빨아줄 듯,0
24,오창석 잘생기고 연기도 괜찮은데.. 왜 이런 데에....ㅠ피고인 때 더 퐉 터뜨렸어야 했나,1
25,오로지 냄비가 무기인 오징어 썩은 냄새나는 세균 덩어리 김 치 년 들,0
26,좆냥이 주인 쉑덜 왜 집사집사 ㅇㅈㄹ 함 ?,0
27,이건 무슨 소리?,1
28,심뽀 더러운 인간들 많네 젊은 청년이 열심히 하는 게 참 대단하다 싶은데 반면에 시기질투하는 인간들도 많을 거야,1
29,공장 가야 할 새끼들이 재수한다고 지랄 꼴깝을 떨어대니깐 자기도 툭 튀어 나오는 거지 ㅋㅋ,0
30,차은우는 아스트로 탈퇴하고 배우 길 걸으면 안돼나요?,1
31,처먹는 예능 그만 좀 해라.. 예능이랍시고 노이즈 마케팅으로 식당 이용하는 것도 아니고,0
32,베트콩들 왜 이리 나댑니까,0
33,담배피는 여 자연예인들 아갈똥네,0
34,도희가 없어서 긍가,1
35,민주당이 압 승인데 왜 이런 걸로 지랄인지....,0
36,창문에 비춰지는 어 머님 설거지 하시는 모습 레게노,1
37,재밍네 영 기 괴한 거 말 그대로인 듯,1
38,한국와서 살면 그 정돈 아무것도 아닐 텐데....이 참에 귀화해라,1
39,헉 생각보다 엄청 예뻤네요??? ㅎ,1
40,잘생겼다 근데 40대 비율 너무 높다 으,1
41,근데 김지석은 나올 짬밥이 아닌데,1
42,방탄소년단도 이 제 퇴물됬 네 꺼져라 이 제 ㅋㅋ,0
43,역시 오늘도 엔딩 맛집,1
44,기독교 목사가 떡치고 다니고,0
45,최욱만 불쌍 ㅜ,1
46,사람이 저렇게 단 기간에 찌우고 빼고 하는데 난 왜 근 10년 이 지나도록 빼는 거 하나가 어려운 걸까..,1
47,신품 때 섹시하신 것도 잘 어울렸는데 이 컨셉은 쪼금 아쉽네용 ㅋㅋ 그래도 예쁘심,1
48,요즘 과하게 오픈하시네 ㅋㅋ,1
49,틀 딱이 네 --- 먹을 나 이 됐다,0
50,우익 사쿠라 한국에서 꺼져줘~,0
51,문재앙부터 조사가자,0
52,장사해처 묵고살기 힘들지 . 그냥 디져,0
53,요즘 차 좋던데 4년 탔는데 엔진오일 만 몇 번 교환하고 뒷범 퍼 추돌해서 교환한 것밖에 없는데 ~ 타이어 교환할 때가 되긴 했지만 ~,1
54,아 이 개병신 새끼씨발 ㅋㅋ,0
55,인직 너무 귀엽고 ❤️,1
56,현지 해설 풀하이라이트 부탁합니다,1
57,헨리 편 노잼 황재균 편 꿀잼,1
58,윤은혜는 어쩌고 ??? 이 나쁜 x꺄,0
59,765g ? 865원가가 57달러 밖에 안하는데 그게 아깝냐?,1
60,고럼고럼 당연한 거지,1
61,참...실수해서 제대로 사과했는데 왜 자꾸 들 그러는지,1
62,안 할 꺼면 글 올리지 마라 노잼,0
63,그냥 병신 프로그램,0
